location;Bazylea;Bazylea;Bazylea;Bazylea;Bazylea;Bazylea;Bazylea
lat;47,546944;47,546944;47,546944;47,546944;47,546944;47,546944;47,546944
lon;7,568918;7,568918;7,568918;7,568918;7,568918;7,568918;7,568918
asl;283,69672;283,69672;283,69672;283,69672;283,69672;283,69672;283,69672
variable;Temperature;Temperature;Temperature;Mean Sea Level Pressure;Mean Sea Level Pressure;Mean Sea Level Pressure;Precipitation Total
unit;øC;øC;øC;hPa;hPa;hPa;mm
level;2 m elevation corrected;2 m elevation corrected;2 m elevation corrected;MSL;MSL;MSL;sfc
resolution;daily;daily;daily;daily;daily;daily;daily
aggregation;Minimum;Maximum;Mean;Minimum;Maximum;Mean;Summation
timestamp;Bazylea Temperature [2 m elevation corrected];Bazylea Temperature [2 m elevation corrected];Bazylea Temperature [2 m elevation corrected];Bazylea Mean Sea Level Pressure [MSL];Bazylea Mean Sea Level Pressure [MSL];Bazylea Mean Sea Level Pressure [MSL];Bazylea Precipitation Total
2024-01-01T00:00:00;4,7105284;9,440529;6,6680284;1011,8;1014,7;1013,4958;0
2024-01-02T00:00:00;6,3805285;11,370529;9,392613;1002,1;1011,4;1006,5916;1,8000001
2024-01-03T00:00:00;8,030529;12,400529;10,241362;1002,4;1005,3;1003,6209;0,6
2024-01-04T00:00:00;4,5505285;10,410529;7,6067777;1005,8;1011,2;1009;0
2024-01-05T00:00:00;3,5105286;8,090529;6,5946956;1004,2;1007,6;1005,2917;4,4
2024-01-06T00:00:00;3,6405284;6,9205284;5,1446953;1005,7;1008,7;1007,39996;0,8
2024-01-07T00:00:00;-0,039471343;5,3605285;2,4930284;1008;1019,1;1013,3042;4,7999997
2024-01-08T00:00:00;-1,2394713;3,6405284;0,6367786;1018,8;1023,4;1020,9541;0,1
2024-01-09T00:00:00;-3,9494715;1,4005287;-1,193638;1023,8;1027,2;1025,7125;0
2024-01-10T00:00:00;-1,5594714;5,0605288;0,65011185;1023,6;1027,6;1025,9376;0,3
2024-01-11T00:00:00;-3,3294713;1,7705287;-1,3823881;1026,5;1030,8;1027,9043;0
2024-01-12T00:00:00;-2,9894714;1,5505286;-1,1482214;1028,5;1031,1;1029,596;0
2024-01-13T00:00:00;-3,5694714;2,4505286;-0,7840546;1018,7;1027,9;1023,9165;0
2024-01-14T00:00:00;-2,3994715;4,3205285;1,1392785;1005,9;1018;1011,2751;0
2024-01-15T00:00:00;-2,2894714;3,1905286;0,47552863;1003,5;1011,8;1006,92084;0,5
2024-01-16T00:00:00;-3,8094714;3,0205286;-0,31030473;1002,4;1012,2;1009,12085;0
2024-01-17T00:00:00;0,6305287;14,340529;8,81928;985,2;1001,8;989,7874;4,4
2024-01-18T00:00:00;-0,25947133;12,450529;4,856362;983,7;1010,5;994,87085;5,8
2024-01-19T00:00:00;-2,7694714;2,2905285;-0,5282214;1011,8;1026,2;1019,49994;0
2024-01-20T00:00:00;-3,5894713;3,3605285;-0,57488817;1026,8;1031,1;1029,5667;0
2024-01-21T00:00:00;-2,7694714;7,6405287;2,155945;1029,4;1031,9;1030,8209;0
2024-01-22T00:00:00;0,7705287;13,520529;7,7617784;1021,1;1029,9;1025,5;7,7999997
2024-01-23T00:00:00;5,6505284;10,330529;8,013863;1030,1;1037,1;1033,3834;0,2
2024-01-24T00:00:00;10,270529;13,670529;11,941779;1029,4;1033,8;1031,5416;1
2024-01-25T00:00:00;7,1905284;12,930529;10,870529;1029,7;1033,1;1031,5709;0,6
2024-01-26T00:00:00;5,0905285;13,680529;9,370112;1029,4;1038;1031,9501;1,3000001
2024-01-27T00:00:00;0,99052864;10,460529;5,703029;1034,9;1039,8;1037,3168;0
2024-01-28T00:00:00;0,62052864;11,900529;5,6696963;1031,1;1035,8;1033,4249;0
2024-01-29T00:00:00;3,8605285;13,900529;7,751362;1029,9;1034,8;1032,5792;0
2024-01-30T00:00:00;4,5305285;13,420529;8,858029;1031,9;1035,3;1033,2083;0
2024-01-31T00:00:00;5,7105284;12,470529;8,549277;1032,7;1036,6;1034,7917;0
2024-02-01T00:00:00;5,4905286;11,180529;8,783029;1032,3;1035,9;1033,6833;0,3
2024-02-02T00:00:00;6,0605288;12,010529;8,175529;1034,7;1038,4;1036,2833;0
2024-02-03T00:00:00;3,6505284;10,400529;6,468862;1032,5;1036,7;1034,5416;0
